iter	RMSE
0	14.8532337
1	14.7072935
2	14.58290178
3	14.47526278
4	14.37679155
5	14.29358944
6	14.19558625
7	14.10060103
8	14.01520348
9	13.93847282
10	13.87050174
11	13.80721857
12	13.76249365
13	13.71186329
14	13.66656019
15	13.63813832
16	13.62287954
17	13.58894596
18	13.56082572
19	13.52457401
20	13.50183684
21	13.47203109
22	13.44962367
23	13.43602533
24	13.41438966
25	13.39615384
26	13.37265738
27	13.35180605
28	13.34016044
29	13.32465569
30	13.31038757
31	13.28854002
32	13.27016224
33	13.25825951
34	13.2472949
35	13.23367496
36	13.22556705
37	13.20958519
38	13.19762711
39	13.18519908
40	13.1744034
41	13.16529855
42	13.1425066
43	13.13292846
44	13.12228091
45	13.10744839
46	13.09502478
47	13.09205804
48	13.08723098
49	13.08093574
50	13.0666191
51	13.05932158
52	13.05198347
53	13.04748153
54	13.03856183
55	13.03447847
56	13.0255244
57	13.01880175
58	13.01359293
59	13.00536058
60	12.99860153
61	12.99138039
62	12.98741888
63	12.98527733
64	12.97899985
65	12.97198754
66	12.96382239
67	12.95886123
68	12.95344492
69	12.94812085
70	12.94004951
71	12.93723842
72	12.93510022
73	12.92735182
74	12.92224181
75	12.92104666
76	12.91069916
77	12.90565897
78	12.89337796
79	12.88613863
80	12.87891814
81	12.87521778
82	12.86970882
83	12.86127704
84	12.85721359
85	12.84946067
86	12.84390626
87	12.83715958
88	12.83381531
89	12.8280627
90	12.82752489
91	12.82531694
92	12.81943372
93	12.81530241
94	12.81363449
95	12.80562315
96	12.80332438
97	12.79886243
98	12.79157688
99	12.78681688
100	12.78263093
101	12.78009119
102	12.77740694
103	12.77159975
104	12.76450733
105	12.75763213
106	12.75645146
107	12.75270782
108	12.74514694
109	12.73996318
110	12.7360097
111	12.73508788
112	12.73354062
113	12.73180912
114	12.72548869
115	12.72320238
116	12.72052059
117	12.72052059
118	12.71732543
119	12.71542223
120	12.71156509
121	12.70904548
122	12.70761239
123	12.70148514
124	12.6985706
125	12.69647556
126	12.69236218
127	12.68827061
128	12.68555351
129	12.6786518
130	12.67377797
131	12.6642331
132	12.66046915
133	12.65954127
134	12.6560222
135	12.65151155
136	12.64877426
137	12.64685605
138	12.64587099
139	12.64272276
140	12.63867509
141	12.63544731
142	12.63402406
143	12.63377623
144	12.63058136
145	12.62410514
146	12.61933143
147	12.61698913
148	12.61156537
149	12.6107085
150	12.60797405
151	12.60460529
152	12.60332867
153	12.60155672
154	12.60027377
155	12.59849108
156	12.59441743
157	12.59393968
158	12.59172744
159	12.59140327
160	12.58861478
161	12.58135051
162	12.58003632
163	12.57836437
164	12.57702877
165	12.57645531
166	12.57103844
167	12.56889536
168	12.56577211
169	12.56401994
170	12.5609724
171	12.55826699
172	12.55689942
173	12.55404843
174	12.55145255
175	12.54937717
176	12.54806194
177	12.54626629
178	12.54270541
179	12.54250943
180	12.5413684
181	12.54052886
182	12.53741732
183	12.53231446
184	12.5306096
185	12.52723903
186	12.52610377
187	12.52271059
188	12.51924921
189	12.51907569
190	12.5166688
191	12.51472529
192	12.51334994
193	12.50992312
194	12.50973866
195	12.50641255
196	12.50636197
197	12.50550365
198	12.50477772
199	12.50291636
200	12.4975306
201	12.49628989
202	12.49527996
203	12.49334556
204	12.48947483
205	12.48742761
206	12.48578194
207	12.48578189
208	12.48468631
209	12.48426319
210	12.48179698
211	12.47789913
212	12.47521554
213	12.4734542
214	12.47298678
215	12.47256111
216	12.47089388
217	12.46931817
218	12.46744964
219	12.46190318
220	12.46080057
221	12.45777817
222	12.45702114
223	12.45652811
224	12.4558418
225	12.45579649
226	12.45447632
227	12.4538321
228	12.44366717
229	12.4413374
230	12.44112583
231	12.43919061
232	12.43797133
233	12.43767271
234	12.43381843
235	12.43187609
236	12.42843065
237	12.42758761
238	12.4248499
239	12.42055308
240	12.41950638
241	12.41775544
242	12.41390163
243	12.41358316
244	12.41162495
245	12.4099727
246	12.40719521
247	12.40532368
248	12.40510559
249	12.40372925
250	12.40280534
251	12.40217329
252	12.39938103
253	12.39808162
254	12.39454536
255	12.39373881
256	12.3930062
257	12.39168853
258	12.39125244
259	12.39110864
260	12.38812352
261	12.38791121
262	12.38757727
263	12.38245087
264	12.38184248
265	12.38180605
266	12.3814241
267	12.3797127
268	12.37856138
269	12.37667572
270	12.37290349
271	12.37172655
272	12.37095498
273	12.36621737
274	12.36251771
275	12.36248803
276	12.36069628
277	12.35972123
278	12.35770526
279	12.35667016
280	12.35486003
281	12.35440354
282	12.35300197
283	12.35021082
284	12.34885338
285	12.34879876
286	12.34791183
287	12.34707274
288	12.34702648
289	12.34602654
290	12.34548235
291	12.34413723
292	12.34222621
293	12.34048833
294	12.33966923
295	12.33931289
296	12.33757082
297	12.33728166
298	12.33630855
299	12.33465177
