iter	Passed	Remaining
0	6	2018
1	11	1707
2	18	1797
3	24	1839
4	31	1871
5	39	1912
6	45	1909
7	52	1916
8	59	1924
9	66	1935
10	73	1920
11	79	1911
12	86	1908
13	92	1898
14	101	1919
15	107	1905
16	114	1900
17	121	1903
18	128	1902
19	135	1896
20	142	1886
21	149	1885
22	155	1878
23	162	1871
24	169	1863
25	176	1864
26	184	1860
27	191	1857
28	199	1862
29	209	1883
30	218	1896
31	225	1891
32	232	1881
33	238	1868
34	245	1859
35	252	1849
36	258	1839
37	265	1832
38	272	1823
39	278	1813
40	285	1803
41	292	1793
42	298	1786
43	305	1778
44	312	1770
45	318	1760
46	325	1752
47	333	1748
48	339	1739
49	346	1731
50	352	1723
51	359	1716
52	366	1708
53	373	1699
54	379	1691
55	386	1682
56	394	1683
57	402	1678
58	409	1670
59	416	1664
60	422	1656
61	429	1649
62	436	1641
63	443	1634
64	450	1627
65	459	1627
66	467	1625
67	474	1620
68	481	1613
69	488	1604
70	495	1598
71	502	1591
72	509	1583
73	516	1576
74	523	1569
75	530	1563
76	537	1555
77	543	1547
78	550	1539
79	556	1531
80	563	1523
81	570	1516
82	576	1507
83	583	1499
84	590	1493
85	597	1486
86	603	1477
87	610	1469
88	616	1461
89	623	1454
90	630	1447
91	636	1439
92	643	1431
93	650	1424
94	658	1419
95	665	1413
96	671	1404
97	677	1396
98	683	1388
99	691	1382
100	697	1374
101	704	1366
102	711	1360
103	717	1352
104	724	1345
105	731	1338
106	737	1330
107	744	1322
108	750	1315
109	757	1308
110	764	1301
111	770	1293
112	777	1286
113	784	1279
114	791	1273
115	798	1267
116	805	1260
117	812	1252
118	818	1245
119	825	1238
120	832	1230
121	838	1223
122	845	1216
123	851	1208
124	859	1202
125	865	1195
126	872	1188
127	879	1181
128	886	1175
129	894	1169
130	901	1162
131	908	1155
132	914	1148
133	921	1141
134	928	1134
135	935	1127
136	941	1120
137	948	1113
138	955	1107
139	962	1100
140	969	1092
141	975	1085
142	982	1078
143	989	1072
144	996	1065
145	1003	1058
146	1009	1050
147	1016	1044
148	1023	1037
149	1029	1029
150	1036	1022
151	1043	1015
152	1049	1008
153	1056	1001
154	1062	994
155	1069	986
156	1075	980
157	1083	973
158	1090	966
159	1096	959
160	1104	953
161	1110	946
162	1118	939
163	1125	933
164	1132	926
165	1139	919
166	1145	912
167	1153	905
168	1159	899
169	1166	892
170	1173	884
171	1180	878
172	1188	872
173	1194	865
174	1201	857
175	1207	850
176	1214	843
177	1221	837
178	1227	829
179	1234	822
180	1241	816
181	1247	809
182	1254	801
183	1260	794
184	1267	787
185	1273	780
186	1280	773
187	1287	766
188	1293	759
189	1300	753
190	1307	745
191	1313	739
192	1321	732
193	1327	725
194	1333	718
195	1340	711
196	1347	704
197	1353	697
198	1360	690
199	1367	683
200	1374	676
201	1381	670
202	1388	663
203	1394	656
204	1402	649
205	1409	643
206	1416	636
207	1423	629
208	1430	623
209	1437	616
210	1445	609
211	1455	604
212	1463	597
213	1470	590
214	1477	583
215	1483	576
216	1490	570
217	1496	563
218	1503	555
219	1509	549
220	1516	542
221	1523	535
222	1529	528
223	1536	521
224	1542	514
225	1549	507
226	1555	500
227	1562	493
228	1568	486
229	1575	479
230	1583	472
231	1589	466
232	1597	459
233	1603	452
234	1610	445
235	1617	438
236	1623	431
237	1629	424
238	1636	417
239	1643	410
240	1651	404
241	1659	397
242	1665	390
243	1671	383
244	1678	376
245	1684	369
246	1691	362
247	1698	356
248	1704	349
249	1711	342
250	1718	335
251	1724	328
252	1731	321
253	1737	314
254	1744	307
255	1751	301
256	1759	294
257	1766	287
258	1773	280
259	1779	273
260	1786	266
261	1793	260
262	1799	253
263	1806	246
264	1813	239
265	1819	232
266	1826	225
267	1833	218
268	1839	212
269	1846	205
270	1852	198
271	1859	191
272	1865	184
273	1872	177
274	1879	170
275	1885	163
276	1893	157
277	1899	150
278	1906	143
279	1912	136
280	1919	129
281	1925	122
282	1932	116
283	1939	109
284	1945	102
285	1952	95
286	1958	88
287	1965	81
288	1973	75
289	1979	68
290	1986	61
291	1993	54
292	1999	47
293	2005	40
294	2012	34
295	2019	27
296	2026	20
297	2032	13
298	2039	6
299	2045	0
